,상품명,가격,이미지 경로,이미지 개수
46,SI JN 6030 color denim shorts_Dusty pink,"62,500원",['./상품이미지/바지/반바지/SI JN 6030 color denim shorts_Dusty pink1.jpg'],1
47,데프 라인 숏 팬츠 딥스카이,"28,000원",['./상품이미지/바지/반바지/데프 라인 숏 팬츠 딥스카이1.jpg'],1
48,여성 미키 마우스 5부 반바지 멜란지그레이 FMBPT786FMGY,"19,800원","['./상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 멜란지그레이 FMBPT786FMGY1.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 멜란지그레이 FMBPT786FMGY2.jpg', './상품이미지/바지/반바지/여성 미키 마우스 5부 반바지 멜란지그레이 FMBPT786FMGY3.jpg']",3
49,데프 라인 하프 쇼츠 딥스카이,"32,000원",['./상품이미지/바지/반바지/데프 라인 하프 쇼츠 딥스카이1.jpg'],1
50,데프 라인 하프 쇼츠 블랙,"32,000원",['./상품이미지/바지/반바지/데프 라인 하프 쇼츠 블랙1.jpg'],1
51,데프 라인 하프 쇼츠 그레이,"32,000원",['./상품이미지/바지/반바지/데프 라인 하프 쇼츠 그레이1.jpg'],1
52,데프 라인 숏 팬츠 멜란지그레이,"28,000원",['./상품이미지/바지/반바지/데프 라인 숏 팬츠 멜란지그레이1.jpg'],1
53,데프 라인 숏 팬츠 시티그린,"28,000원",['./상품이미지/바지/반바지/데프 라인 숏 팬츠 시티그린1.jpg'],1
54,셋업 쇼트 팬츠,"240,000원","['./상품이미지/바지/반바지/셋업 쇼트 팬츠1.jpg', './상품이미지/바지/반바지/셋업 쇼트 팬츠2.jpg']",2
55,스트랩 바이크 팬츠,"53,100원",['./상품이미지/바지/반바지/스트랩 바이크 팬츠1.jpg'],1
56,스트랩 바이크 팬츠 O,"53,100원",['./상품이미지/바지/반바지/스트랩 바이크 팬츠95.jpg'],1
57,실루엣 로고 복서 쇼츠 스웨트팬츠 화이트멜란지,"47,200원","['./상품이미지/바지/반바지/실루엣 로고 복서 쇼츠 스웨트팬츠 화이트멜란지1.jpg', './상품이미지/바지/반바지/실루엣 로고 복서 쇼츠 스웨트팬츠 화이트멜란지2.jpg']",2
58,블랙 셋업 쇼트 팬츠,"240,000원",['./상품이미지/바지/반바지/블랙 셋업 쇼트 팬츠1.jpg'],1
59,데이지 블랙 12 팬츠,"47,200원","['./상품이미지/바지/반바지/데이지 블랙 12 팬츠1.jpg', './상품이미지/바지/반바지/데이지 블랙 12 팬츠2.jpg']",2
60,Cutting Half denim Mid blue,"139,000원","['./상품이미지/바지/반바지/Cutting Half denim Mid blue1.jpg', './상품이미지/바지/반바지/Cutting Half denim Mid blue2.jpg']",2
61,테크 쇼츠_그레이,"29,900원","['./상품이미지/바지/반바지/테크 쇼츠_그레이1.jpg', './상품이미지/바지/반바지/테크 쇼츠_그레이2.jpg', './상품이미지/바지/반바지/테크 쇼츠_그레이3.jpg']",3
62,3 스트라이프 숏 팬츠 블랙 GN2885,"31,900원","['./상품이미지/바지/반바지/3 스트라이프 숏 팬츠 블랙 GN28851.jpg', './상품이미지/바지/반바지/3 스트라이프 숏 팬츠 블랙 GN28852.jpg', './상품이미지/바지/반바지/3 스트라이프 숏 팬츠 블랙 GN28853.jpg']",3
63,PINTUCK BERMUDA PANTS_CREAM,"148,000원","['./상품이미지/바지/반바지/PINTUCK BERMUDA PANTS_CREAM1.jpg', './상품이미지/바지/반바지/PINTUCK BERMUDA PANTS_CREAM2.jpg', './상품이미지/바지/반바지/PINTUCK BERMUDA PANTS_CREAM3.jpg']",3
64,PINTUCK BERMUDA PANTS_DARK GRAY,"148,000원","['./상품이미지/바지/반바지/PINTUCK BERMUDA PANTS_DARK GRAY1.jpg', './상품이미지/바지/반바지/PINTUCK BERMUDA PANTS_DARK GRAY2.jpg', './상품이미지/바지/반바지/PINTUCK BERMUDA PANTS_DARK GRAY3.jpg']",3
65,22SS FLAVOUR SHORTS PANTS _02,"59,000원","['./상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _021.jpg', './상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _022.jpg', './상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _023.jpg']",3
66,22SS FLAVOUR SHORTS PANTS _04,"59,000원","['./상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _041.jpg', './상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _042.jpg', './상품이미지/바지/반바지/22SS FLAVOUR SHORTS PANTS _043.jpg']",3
